"Food Name" "Category Name" "Calcium" "Calories" "Carbs" "Cholesterol" "Copper" "Fats" "Fiber" "Folate" "Iron" "Magnesium" "Monounsaturated Fat" "Net carbs" "Omega-3 - DHA" "Omega-3 - DPA" "Omega-3 - EPA" "Phosphorus" "Polyunsaturated fat" "Potassium" "Protein" "Saturated Fat" "Selenium" "Sodium" "Trans Fat" "Vitamin A (IU)" "Vitamin A RAE" "Vitamin B1" "Vitamin B12" "Vitamin B2" "Vitamin B3" "Vitamin B5" "Vitamin B6" "Vitamin C" "Zinc" "Choline" "Fructose" "Histidine" "Isoleucine" "Leucine" "Lysine" "Manganese" "Methionine" "Phenylalanine" "Starch" "Sugar" "Threonine" "Tryptophan" "Valine" "Vitamin D" "Vitamin E" "Vitamin K" "Omega-3 - ALA" "Omega-6 - Eicosadienoic acid" "Omega-6 - Gamma-linoleic acid" "Omega-3 - Eicosatrienoic acid" "Omega-6 - Dihomo-gamma-linoleic acid" "Omega-6 - Linoleic acid" "Omega-6 - Arachidonic acid"
"Hearts of palm" "Vegetables" 0.058 28 4.6 0 0.00013 0.62 2.4 3.9e-05 0.0031 0.038 0.1 2.2 NA NA NA 0.065 0.2 0.177 2.5 0.13 7e-07 0.426 0 0 0 1e-05 0 6e-05 0.00044 0.00013 2e-05 0.0079 0.0012 NA NA 6e-05 1e-04 0.00017 9e-05 0.0014 4e-05 1e-04 NA NA 1e-04 2e-05 0.00011 0 NA NA NA NA NA NA NA NA NA
"Nopales" "Vegetables" 0.056 41 9.6 0 8e-05 0.51 3.6 6e-06 3e-04 0.085 0.08 6 0 0 0 0.024 0.21 0.22 0.73 0.07 6e-07 0.005 0 43 2e-06 1e-05 0 6e-05 0.00046 NA 6e-05 0.014 0.00011999999999999 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Chinese broccoli" "Vegetables" 0.1 22 3.8 0 6e-05 0.72 2.5 9.9e-05 0.00056 0.018 0.05 1.3 0 0 0 0.041 0.33 0.261 1.1 0.11 1.3e-06 0.007 0 1638 8.2e-05 1e-04 0 0.00015 0.00044 0.00016 7e-05 0.028 0.00039 0.025 NA NA NA NA NA 0.00026 NA NA NA 0.84 NA NA NA 0 0.00047999999999999 8.5e-05 NA NA NA NA NA NA NA
"Napa cabbage" "Vegetables" 0.029 12 2.2 0 1e-04 0.17 NA 4.3e-05 0.00074 0.008 NA 2.2 NA NA NA 0.019 NA 0.087 1.1 NA 4e-07 0.011 0 263 1.3e-05 1e-05 0 3e-05 0.00047 4e-05 4e-05 0.0032 0.00014 NA NA NA NA NA NA 2e-04 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA
"Poblano" "Vegetables" 0.061 281 51 0 0.00051 8.2 22 6.9e-05 0.011 0.113 0.49 30 0 0 0 0.201 4.5 2.411 12 0.82 2.9e-06 0.043 0 20438 0.001022 0.00017999999999999 0 0.0023 0.0064 0.002 0.0035 0.002 0.0014 NA NA 0.00023 0.00037 0.00061 0.00052 0.0013 0.00014 0.00035999999999999 NA NA 0.00043 0.00016 0.00049 0 NA NA NA NA NA NA NA NA NA
"Jalapeño" "Vegetables" 0.012 29 6.5 0 5e-05 0.37 2.8 2.7e-05 0.00025 0.015 0.03 3.7 0 0 0 0.026 0.11 0.248 0.91 0.09 4e-07 0.003 0 1078 5.4e-05 4e-05 0 7e-05 0.0013 0.00032 0.00041999999999999 0.119 0.00014 0.0075 2.6 NA NA NA NA 1e-04 NA NA NA 4.1 NA NA NA 0 0.0036 1.9e-05 0.05 0 0 0 0 0.06 NA
"Pasilla peppers" "Vegetables" 0.097 345 51 0 0.00041999999999999 16 27 0.00017 0.0098 0.13 NA 24 NA NA NA 0.267 NA 2.222 12 NA 3.2e-06 0.089 0 35760 0.001788 0.00017 0 0.0032 0.0072 0.0016 0.0042 0.0064 0.0014 NA NA NA NA NA NA 0.0016 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA
"Mexican tea" "Vegetables" 0.275 32 7.4 0 0.00019 0.52 3.8 0.000215 0.0019 0.121 NA 3.6 NA NA NA 0.086 NA 0.633 0.33 NA 9e-07 0.043 0 57 3e-06 3e-05 0 0.00035 0.00064 0.00017999999999999 0.00015 0.0036 0.0011 NA NA NA NA NA NA 0.0031 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA
"Yautia" "Vegetables" 0.009 98 24 0 0.00026 0.4 1.5 1.7e-05 0.00098 0.024 NA 22 NA NA NA 0.051 NA 0.598 1.5 0.08 7e-07 0.021 0 8 0 1e-04 0 4e-05 0.00067 0.00020999999999999 0.00023999999999999 0.0052 5e-04 NA NA NA NA NA NA 0.00019 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA
"Fiddlehead ferns" "Vegetables" 0.032 34 5.5 0 0.00032 0.4 NA NA 0.0013 0.034 NA 5.5 NA NA NA 0.101 NA 0.37 4.6 NA NA 0.001 0 3617 0.000181 2e-05 0 0.00020999999999999 0.005 NA NA 0.027 0.00083 NA NA NA NA NA NA 0.00051 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA
"Cod liver oil" "Seafood" 0 902 0 0.57 0 100 0 0 0 0 47 0 11 0.94 6.9 0 23 0 0 23 0 0 NA 1e+05 0.03 NA 0 0 0 0 0 0 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0.00025 NA NA NA NA NA NA NA NA NA
"Anchovy" "Seafood" 0.147 131 0 0.06 0.00020999999999999 4.8 0 9e-06 0.0033 0.041 1.2 0 0.91 0.03 0.54 0.174 1.6 0.383 20 1.3 3.7e-05 0.104 NA 50 1.5e-05 6e-05 6.2e-07 0.00026 0.014 0.00065 0.00014 0 0.0017 NA NA 6e-04 0.00094 0.0017 0.0019 7e-05 6e-04 0.00079 NA 0 0.00089 0.00023 0.001 NA 0.00057 1e-07 NA NA NA NA NA NA NA
"Carp" "Seafood" 0.052 162 0 0.084 7e-05 7.2 0 1.7e-05 0.0016 0.038 3 0 0.15 0.11 0.31 0.531 1.8 0.427 23 1.4 1.6e-05 0.063 NA 32 1e-05 0.00014 1.5e-06 7e-05 0.0021 0.00087 0.00022 0.0016 0.0019 NA NA 0.00067 0.0011 0.0019 0.0021 5e-05 0.00068 0.00089 NA NA 0.001 0.00026 0.0012 NA NA NA NA NA NA NA NA NA NA
"Caviar" "Seafood" 0.275 264 4 0.588 0.00011 18 0 5e-05 0.012 0.3 4.6 4 3.8 0.23 2.7 0.356 7.4 0.181 25 4.1 6.6e-05 1.5 NA 905 0.000271 0.00019 2e-05 0.00062 0.00011999999999999 0.0035 0.00032 0 0.00095 0.491 NA 0.00065 0.001 0.0021 0.0018 5e-05 0.00065 0.0011 NA 0 0.0013 0.00032 0.0013 2.9e-06 0.0019 6e-07 NA NA NA NA NA NA NA
"Cod" "Seafood" 0.014 105 0 0.055 4e-05 0.86 0 8e-06 0.00049 0.042 0.12 0 0.15 0.01 0 0.138 0.29 0.244 23 0.17 3.8e-05 0.078 NA 47 1.4e-05 9e-05 1.1e-06 8e-05 0.0025 0.00017999999999999 0.00028 0.001 0.00058 0.084 NA 0.00067 0.0011 0.0019 0.0021 2e-05 0.00068 0.00089 NA 0 0.001 0.00026 0.0012 1.2e-06 0.00081 1e-07 NA NA NA NA NA NA NA
"Croaker" "Seafood" 0.032 221 7.5 0.084 7e-05 13 0.4 3.4e-05 0.00086 0.042 5.3 7.1 0.09 0.08 0.11 0.217 2.9 0.34 18 3.5 3.9e-05 0.348 NA 75 2.3e-05 9e-05 2.1e-06 0.00013 0.0043 0.00074 0.00026 0 0.00052 NA NA 0.00053 0.00085 0.0015 0.0016 8e-05 0.00053 0.00074 NA NA 0.00079 0.00020999999999999 0.00095 NA NA NA NA NA NA NA NA NA NA
"Eel" "Seafood" 0.026 236 0 0.161 3e-05 15 0 1.7e-05 0.00064 0.026 9.2 0 0.08 0.1 0.11 0.277 1.2 0.349 24 3 8.3e-06 0.065 NA 3787 0.001137 0.00017999999999999 2.9e-06 5e-05 0.0045 0.00028 8e-05 0.0018 0.0021 NA NA 7e-04 0.0011 0.0019 0.0022 4e-05 7e-04 0.00092 NA NA 0.001 0.00027 0.0012 NA NA NA NA NA NA NA NA NA NA
"Fish sticks" "Seafood" 0.016 277 22 0.028 6e-05 16 1.5 2.4e-05 0.00083999999999999 0.025 3.2 20 0.09 0 0.05 0.191 7.8 0.185 11 3.7 1.6e-05 0.402 0.12 18 4e-06 0.00011999999999999 9.6e-07 0.00011999999999999 0.0015 0.00027 8e-05 0 0.00041999999999999 0.043 0.1 0.00023 0.00043 0.00085 8e-04 0.00017999999999999 3e-04 0.00047 20 1.7 0.00037 0.00011999999999999 5e-04 0 0.0069 4.7e-06 0.24 0 0.01 0 0 7.3 NA
"Flatfish" "Seafood" 0.025 86 0 0.056 2e-05 2.4 0 6e-06 0.00023 0.022 0.66 0 0.13 0.03 0.17 0.309 0.46 0.197 15 0.54 3.3e-05 0.363 0.01 37 1.2e-05 3e-05 1.3e-06 3e-05 0.0013 0.00023 0.00011999999999999 0 0.00039 0.08 0 0.00037 0.00075 0.0013 0.0016 2e-05 0.00056 0.00062 0 0 0.00071999999999999 2e-04 8e-04 3.5e-06 0.00077 1e-07 NA 0.01 NA NA NA NA NA
"Gefilte fish" "Seafood" 0.023 84 7.4 0.03 2e-04 1.7 0 3e-06 0.0025 0.009 0.82 7.4 0.05 0.03 0.08 0.073 0.29 0.091 9.1 0.41 1.1e-05 0.524 NA 89 2.7e-05 7e-05 8.4e-07 6e-05 0.001 2e-04 8e-05 8e-04 0.00082 NA NA 0.00026 0.00049 0.00081 0.00083999999999999 7e-05 0.00026 0.00049 NA NA 0.00049 9e-05 0.00055 NA NA NA NA NA NA NA NA NA NA
"Grouper fish" "Seafood" 0.021 118 0 0.047 5e-05 1.3 0 1e-05 0.0011 0.037 0.27 0 0.21 0.02 0.04 0.143 0.4 0.475 25 0.3 4.7e-05 0.053 NA 165 5e-05 8e-05 6.9e-07 1e-05 0.00038 0.00087 0.00035 0 0.00051 NA NA 0.00073 0.0011 0.002 0.0023 1e-05 0.00074 0.00096999999999999 NA NA 0.0011 0.00028 0.0013 NA NA NA NA NA NA NA NA NA NA
"Haddock" "Seafood" 0.014 90 0 0.066 3e-05 0.55 0 1.3e-05 0.00020999999999999 0.026 0.07 0 0.11 0.01 0.05 0.278 0.2 0.351 20 0.11 3.2e-05 0.261 0.01 62 2.1e-05 2e-05 2.1e-06 7e-05 0.00409999999999999 0.00049 0.00033 0 4e-04 0.08 NA 0.00068 0.0011 0.0019 0.0021 1e-05 0.00069 9e-04 NA 0 0.001 0.00026 0.0012 6e-07 0.00055 1e-07 NA 0 NA NA NA NA NA
"Herring" "Seafood" 0.074 203 0 0.077 0.00011999999999999 12 0 1.2e-05 0.0014 0.041 4.8 0 1.1 0.07 0.91 0.303 2.7 0.419 23 2.6 4.7e-05 0.115 NA 120 3.6e-05 0.00011 1.3e-05 3e-04 0.00409999999999999 0.00074 0.00035 7e-04 0.0013 0.083 NA 0.00068 0.0011 0.0019 0.0021 4e-05 0.00068 9e-04 NA 0 0.001 0.00026 0.0012 5.4e-06 0.0014 1e-07 NA NA NA NA NA NA NA
"Mackerel" "Seafood" 0.015 262 0 0.075 9e-05 18 0 2e-06 0.0016 0.097 7 0 0.7 0.11 0.5 0.278 4.3 0.401 24 4.2 5.2e-05 0.083 NA 180 5.4e-05 0.00016 1.9e-05 0.00041 0.0069 0.00099 0.00046 4e-04 0.00094 NA NA 7e-04 0.0011 0.0019 0.0022 2e-05 0.00070999999999999 0.00093 NA NA 0.001 0.00027 0.0012 NA NA NA NA NA NA NA NA NA NA
"Mullet fish" "Seafood" 0.031 150 0 0.063 0.00014 4.9 0 1e-05 0.0014 0.033 1.4 0 0.15 0.09 0.18 0.244 0.92 0.458 25 1.4 4.7e-05 0.071 NA 141 4.2e-05 1e-04 2.5e-07 1e-04 0.0063 0.00088 0.00049 0.0012 0.00088 NA NA 0.00073 0.0011 0.002 0.0023 2e-05 0.00073 0.00096999999999999 NA NA 0.0011 0.00028 0.0013 NA NA NA NA NA NA NA NA NA NA
"Perch" "Seafood" 0.102 117 0 0.115 0.00019 1.2 0 6e-06 0.0012 0.038 0.2 0 0.22 0.04 0.1 0.257 0.47 0.344 25 0.24 1.6e-05 0.079 NA 32 1e-05 8e-05 2.2e-06 0.00011999999999999 0.0019 0.00087 0.00014 0.0017 0.0014 NA NA 0.00073 0.0011 0.002 0.0023 9e-04 0.00074 0.00096999999999999 NA NA 0.0011 0.00028 0.0013 NA NA NA NA NA NA NA NA NA NA
"Alaska pollock" "Seafood" 0.072 111 0 0.086 6e-05 1.2 0 3e-06 0.00056 0.081 0.13 0 0.42 0.03 0.09 0.267 0.58 0.43 23 0.16 4.4e-05 0.419 NA 51 1.7e-05 5e-05 3.7e-06 0.00022 0.0039 0.00043 0.00033 0 0.00057 0.092 NA 0.00069 0.0011 0.0019 0.0022 2e-05 7e-04 0.00092 NA 0 0.001 0.00026 0.0012 1.3e-06 0.00028 1e-07 NA NA NA NA NA NA NA
"Pompano" "Seafood" 0.043 211 0 0.064 8e-05 12 0 1.7e-05 0.00067 0.031 3.3 0 0.5 0.26 0.22 0.341 1.5 0.636 24 4.5 4.7e-05 0.076 NA 120 3.6e-05 0.00068 1.2e-06 0.00015 0.0038 0.00087 0.00023 0 0.00069 NA NA 7e-04 0.0011 0.0019 0.0022 3e-05 7e-04 0.00093 NA NA 0.001 0.00027 0.0012 NA NA NA NA NA NA NA NA NA NA
"Rockfish" "Seafood" 0.017 109 0 0.061 4e-05 1.6 0 1e-05 0.00035999999999999 0.033 0.47 0 0.24 0.03 0.11 0.248 0.49 0.467 22 0.42 7.6e-05 0.089 0.03 16 5e-06 3e-05 1.6e-06 0.00023 0.0029 4e-04 0.00023999999999999 0 0.00043 0.079 0 5e-04 0.0011 0.0018 0.0022 1e-05 0.00070999999999999 0.00094 0 0 0.001 3e-04 0.0011 4.6e-06 0.00044 0 NA 0.01 NA NA NA NA NA
"Smoked salmon" "Seafood" 0.011 117 0 0.023 0.00023 4.3 0 2e-06 0.00085 0.018 2 0 0.27 0.07 0.18 0.164 1 0.175 18 0.93 3.2e-05 0.672 NA 87 2.6e-05 2e-05 3.3e-06 1e-04 0.0047 0.00087 0.00028 0 0.00031 0.089 NA 0.00054 0.00083999999999999 0.0015 0.0017 2e-05 0.00054 0.00070999999999999 NA 0 8e-04 0.00020999999999999 0.00094 1.7e-05 0.0014 1e-07 NA NA NA NA NA NA NA
"Sockeye salmon" "Seafood" 0.011 156 0 0.061 8e-05 5.6 0 7e-06 0.00052 0.036 1.9 0 0.56 0.09 0.3 0.305 1.3 0.436 26 0.97 3.6e-05 0.092 0.02 193 5.8e-05 0.00016 4.5e-06 0.00025 0.01 0.0013 0.00083 0 0.00055 0.113 0 0.00070999999999999 0.0013 0.0022 0.0026 1e-05 0.00086 0.0011 0 0 0.0012 0.00034 0.0015 1.7e-05 0.00099 1e-07 NA 0.02 NA NA NA NA NA
"Sardine" "Seafood" 0.382 208 0 0.142 0.00019 11 0 1e-05 0.0029 0.039 3.9 0 0.51 0 0.47 0.49 5.1 0.397 25 1.5 5.3e-05 0.307 NA 108 3.2e-05 8e-05 8.9e-06 0.00023 0.0052 0.00064 0.00017 0 0.0013 0.075 NA 0.00073 0.0011 0.002 0.0023 0.00011 0.00073 0.00095999999999999 NA 0 0.0011 0.00028 0.0013 4.8e-06 0.002 2.6e-06 NA NA NA NA NA NA NA
"Shark" "Seafood" 0.05 228 6.4 0.059 4e-05 14 0 1.5e-05 0.0011 0.043 5.9 6.4 0.43 0.09 0.26 0.194 3.7 0.155 19 3.2 3.4e-05 0.122 NA 180 5.4e-05 7e-05 1.2e-06 1e-04 0.0028 0.00062 3e-04 0 0.00047999999999999 NA NA 0.00054 0.00087 0.0015 0.0016 5e-05 0.00054 0.00075 NA NA 0.00083999999999999 0.00020999999999999 0.00096999999999999 NA NA NA NA NA NA NA NA NA NA
"Sheepshead" "Seafood" 0.037 126 0 0.064 0.00011999999999999 1.6 0 1.7e-05 0.00067 0.035 0.35 0 0.11 0.04 0.08 0.35 0.38 0.512 26 0.36 5.1e-05 0.073 NA 115 3.5e-05 1e-05 2.3e-06 5e-05 0.0018 0.00087 0.00035 0 0.00063 NA NA 0.00077 0.0012 0.0021 0.0024 2e-05 0.00077 0.001 NA NA 0.0011 0.00029 0.0013 NA NA NA NA NA NA NA NA NA NA
"Smelt" "Seafood" 0.077 124 0 0.09 0.00017999999999999 3.1 0 5e-06 0.0012 0.038 0.82 0 0.54 0.02 0.35 0.295 1.1 0.372 23 0.58 4.7e-05 0.077 NA 58 1.7e-05 1e-05 4e-06 0.00015 0.0018 0.00074 0.00017 0 0.0021 NA NA 0.00067 0.001 0.0018 0.0021 9e-04 0.00067 0.00088 NA NA 0.00099 0.00025 0.0012 NA NA NA NA NA NA NA NA NA NA
"Snapper" "Seafood" 0.04 128 0 0.047 5e-05 1.7 0 6e-06 0.00023999999999999 0.037 0.32 0 0.27 0.02 0.05 0.201 0.59 0.522 26 0.37 4.9e-05 0.057 NA 115 3.5e-05 5e-05 3.5e-06 0 0.00035 0.00087 0.00046 0.0016 0.00044 NA NA 0.00077 0.0012 0.0021 0.0024 2e-05 0.00078 0.001 NA NA 0.0012 0.00029 0.0014 NA NA NA NA NA NA NA NA NA NA
"Sturgeon" "Seafood" 0.017 135 0 0.077 5e-05 5.2 0 1.7e-05 9e-04 0.045 2.5 0 0.12 0.06 0.25 0.271 0.89 0.364 21 1.2 1.6e-05 0.069 NA 875 0.000263 8e-05 2.5e-06 9e-05 0.01 0.00087 0.00023 0 0.00054 0.07 NA 0.00061 0.00095 0.0017 0.0019 3e-05 0.00061 0.00081 NA 0 0.00091 0.00023 0.0011 1.3e-05 0.00063 1e-07 NA NA NA NA NA NA NA
"Surimi" "Seafood" 0.009 99 6.9 0.03 3e-05 0.9 0 2e-06 0.00026 0.043 0.15 6.9 0.24 0.01 0.16 0.282 0.44 0.112 15 0.19 2.8e-05 0.143 NA 67 2e-05 2e-05 1.6e-06 2e-05 0.00022 7e-05 3e-05 0 0.00033 NA NA 0.00035 0.00070999999999999 0.0012 0.0014 1e-05 0.00052 6e-04 NA 0 0.00073 9e-05 0.00077 NA 0.00063 1e-07 NA NA NA NA NA NA NA
"Swordfish" "Seafood" 0.006 172 0 0.078 5e-05 7.9 0 2e-06 0.00045 0.035 3.5 0 0.77 0.17 0.13 0.304 1.4 0.499 23 1.9 6.9e-05 0.097 0.06 129 4.3e-05 9e-05 1.6e-06 6e-05 0.0093 0.00041999999999999 0.00062 0 0.00078 0.078 NA 7e-04 0.0011 0.0019 0.0022 1e-05 7e-04 0.00092 NA 0 0.001 0.00027 0.0012 1.7e-05 0.0024 1e-07 NA 0.02 NA NA NA NA NA
"Tilefish" "Seafood" 0.026 147 0 0.064 5e-05 4.7 0 1.7e-05 0.00031 0.033 1.3 0 0.73 0.14 0.17 0.236 1.2 0.512 24 0.87 5.2e-05 0.059 NA 69 2.1e-05 0.00014 2.5e-06 0.00019 0.0035 0.00087 3e-04 0 0.00053 NA NA 0.00071999999999999 0.0011 0.002 0.0022 2e-05 0.00073 0.00095999999999999 NA NA 0.0011 0.00027 0.0013 NA NA NA NA NA NA NA NA NA NA
"Tuna salad" "Seafood" 0.017 187 9.4 0.013 0.00015 9.3 0 8e-06 0.001 0.019 2.9 9.4 0.06 NA 0.01 0.178 4.1 0.178 16 1.5 4.1e-05 0.402 NA 97 2.4e-05 3e-05 1.2e-06 7e-05 0.0067 0.00026 8e-05 0.0022 0.00056 NA NA 0.00047 0.00074 0.0013 0.0015 4e-05 0.00047 0.00063 NA NA 7e-04 0.00017999999999999 0.00082 NA NA NA NA NA NA NA NA NA NA
"Whiting" "Seafood" 0.062 116 0 0.084 4e-05 1.7 0 1.5e-05 0.00041999999999999 0.027 0.45 0 0.24 0.02 0.28 0.285 0.59 0.434 23 0.4 4.1e-05 0.132 NA 128 3.8e-05 7e-05 2.6e-06 6e-05 0.0017 0.00025 0.00017999999999999 0 0.00053 0.083 NA 0.00069 0.0011 0.0019 0.0022 0.00013 7e-04 0.00092 NA 0 0.001 0.00026 0.0012 1.8e-06 0.00038 1e-07 NA NA NA NA NA NA NA
"Crab meat" "Seafood" 0.059 97 0 0.053 0.0012 1.5 0 5.1e-05 0.00076 0.063 0.19 0 0.12 0.03 0.3 0.28 0.54 0.262 19 0.13 4e-05 1.072 NA 29 9e-06 5e-05 1.2e-05 6e-05 0.0013 4e-04 0.00017999999999999 0.0076 0.0076 NA NA 0.00039 0.00094 0.0015 0.0017 4e-05 0.00055 0.00082 NA NA 0.00078 0.00027 0.00091 NA NA NA NA NA NA NA NA NA NA
"Crab stick" "Seafood" 0.013 95 15 0.02 3e-05 0.46 0.5 0 0.00039 0.043 0.28 15 0.03 0 0 0.282 0.14 0.09 7.6 0.22 2.2e-05 0.529 0.01 0 0 3e-05 5.7e-07 8e-05 0.00062 0 0.00013 0 0.00033 0.013 0.62 0.00016 0.00023 0.00061 0.00070999999999999 1e-05 0.00026 0.00026 3.5 6.3 0.00029 8e-05 0.00029 0 0.00017 4e-07 0.01 0 0 0 0 0.09 NA
"Crab" "Seafood" 0.091 83 0 0.097 0.00081 0.74 0 5.1e-05 5e-04 0.036 0.13 0 0.07 0.01 0.1 0.234 0.26 0.259 18 0.2 4.3e-05 0.563 0.01 2 1e-06 2e-05 3.3e-06 9e-05 0.0027 0.001 0.00016 0.0033 0.0038 0.081 0 0.00039 0.00078 0.0013 0.0014 7e-05 0.00045 0.00070999999999999 0 0 0.00073 0.00023 0.00081 0 0.0018 3e-07 NA 0.01 NA NA NA NA NA
"Crayfish" "Seafood" 0.06 82 0 0.133 0.00069 1.2 0 4.4e-05 0.00083 0.033 0.24 0 0.05 0 0.12 0.27 0.37 0.296 17 0.18 3.7e-05 0.094 NA 50 1.5e-05 5e-05 2.2e-06 9e-05 0.0023 0.00058 8e-05 9e-04 0.0018 0.081 NA 0.00034 0.00081 0.0013 0.0015 0.00052 0.00047 0.00070999999999999 NA 0 0.00068 0.00023 0.00079 0 0.0015 1e-07 NA NA NA NA NA NA NA
"Lobster" "Seafood" 0.096 89 0 0.146 0.0016 0.86 0 1.1e-05 0.00029 0.043 0.25 0 0.08 0.01 0.12 0.185 0.34 0.23 19 0.21 7.3e-05 0.486 0.01 4 1e-06 2e-05 1.4e-06 2e-05 0.0018 0.0017 0.00011999999999999 0 0.00409999999999999 0.081 0 0.00047999999999999 0.00083 0.0014 0.0014 7e-05 0.00047999999999999 0.00078 0 0 0.00075 0.00025 0.00085 0 0.001 0 0.05 0.01 0 0.01 0.01 0.03 NA
"Shrimp" "Seafood" 0.091 119 1.5 0.211 0.00026 1.7 0 2.4e-05 0.00032 0.037 0.36 1.5 0.14 0.01 0.14 0.306 0.59 0.17 23 0.52 5e-05 0.947 0.04 301 9e-05 3e-05 1.7e-06 2e-05 0.0027 0.00052 0.00023999999999999 0 0.0016 0.135 0 5e-04 0.0011 0.002 0.0022 5e-05 0.00067 0.00099 0 0 9e-04 0.00026 0.0011 1e-07 0.0022 4e-07 NA 0.01 NA NA NA NA NA
"Abalone" "Seafood" 0.037 189 11 0.094 0.00023 6.8 0 1.4e-05 0.0038 0.056 2.7 11 NA 0.05 0.05 0.217 1.7 0.284 20 1.6 5.2e-05 0.591 NA 5 2e-06 0.00022 6.9e-07 0.00013 0.0019 0.0029 0.00015 0.0018 0.00095 NA NA 0.00038 0.00085 0.0014 0.0014 7e-05 0.00044 0.00071999999999999 NA NA 0.00083999999999999 0.00022 0.00086 NA NA NA NA NA NA NA NA NA NA
"Clam" "Seafood" 0.092 148 5.1 0.067 0.00069 2 0 2.9e-05 0.0028 0.018 0.17 5.1 0.15 0.1 0.14 0.338 0.55 0.628 26 0.19 6.4e-05 1.202 NA 570 0.000171 0.00015 9.9e-05 0.00043 0.0034 0.00068 0.00011 0.022 0.0027 NA NA 0.00049 0.0011 0.0018 0.0019 0.001 0.00058 0.00092 NA NA 0.0011 0.00029 0.0011 NA NA NA NA NA NA NA NA NA NA
"Cuttlefish" "Seafood" 0.09 79 0.82 0.112 0.00058999999999999 0.7 0 1.6e-05 0.006 0.03 0.08 0.82 0.07 0.01 0.04 0.387 0.13 0.354 16 0.12 4.5e-05 0.372 NA 375 0.000113 1e-05 3e-06 0.00091 0.0012 5e-04 0.00015 0.0053 0.0017 NA NA 0.00031 0.00070999999999999 0.0011 0.0012 0.00011 0.00037 0.00058 NA NA 7e-04 0.00017999999999999 0.00070999999999999 NA NA NA NA NA NA NA NA NA NA
"Mussels" "Seafood" 0.033 172 7.4 0.056 0.00015 4.5 0 7.6e-05 0.0067 0.037 1 7.4 0.51 0.04 0.28 0.285 1.2 0.268 24 0.85 9e-05 0.369 NA 304 9.1e-05 3e-04 2.4e-05 0.00041999999999999 0.003 0.00095 1e-04 0.014 0.0027 NA NA 0.00046 0.001 0.0017 0.0018 0.0068 0.00054 0.00085 NA NA 0.001 0.00027 0.001 NA NA NA NA NA NA NA NA NA NA
"Oysters" "Seafood" 0.116 102 5.5 0.079 0.0057 3.4 0 1.4e-05 0.0092 0.035 0.51 5.5 0.27 0.02 0.35 0.194 1.1 0.139 11 0.95 4e-05 0.166 0.07 88 2.6e-05 4e-05 1.8e-05 0.00017999999999999 0.0019 0.00045 6e-05 0 0.079 0.13 0 0.00022 0.00046 0.00071999999999999 0.00076 0.00058999999999999 0.00026 0.00041 0.9 1.2 5e-05 0.00014 0.00052 0 0.0017 2e-06 0.16 0.01 0 0 0.01 0.06 NA
"Whelk" "Seafood" 0.113 275 16 0.13 0.0021 0.8 0 1.1e-05 0.01 0.172 0.06 16 0.01 NA 0.01 0.282 0.05 0.694 48 0.06 9e-05 0.412 NA 162 4.9e-05 5e-05 1.8e-05 0.00020999999999999 0.002 4e-04 0.00065 0.0068 0.0033 NA NA 0.00098 0.0017 0.0038 0.0029 0.00089 0.0012 0.0016 NA NA 0.0021 0.00062 0.0021 NA NA NA NA NA NA NA NA NA NA
"Bass" "Seafood" 0.019 124 0 0.103 4e-05 3 0 1e-05 0.0011 0.051 0.85 0 0.75 NA 0.22 0.254 1 0.328 23 0.65 4.7e-05 0.088 NA 104 3.1e-05 0.00011999999999999 4.4e-06 4e-05 0.0026 0.00087 0.00035 0 0.00051 NA NA 0.00067 0.001 0.0018 0.0021 2e-05 0.00067 0.00089 NA NA 0.001 0.00026 0.0012 NA NA NA NA NA NA NA NA NA NA
"Bluefish" "Seafood" 0.009 159 0 0.076 7e-05 5.4 0 2e-06 0.00062 0.042 2.3 0 0.67 0.08 0.32 0.291 1.4 0.477 26 1.2 4.7e-05 0.077 NA 459 0.000138 7e-05 6.2e-06 1e-04 0.0072 0.00095999999999999 0.00046 0 0.001 NA NA 0.00076 0.0012 0.0021 0.0024 3e-05 0.00076 0.001 NA NA 0.0011 0.00029 0.0013 NA NA NA NA NA NA NA NA NA NA
"Burbot" "Seafood" 0.064 115 0 0.077 0.00026 1 0 1e-06 0.0012 0.041 0.17 0 0.12 0.03 0.09 0.256 0.38 0.518 25 0.21 1.6e-05 0.124 NA 17 5e-06 0.00043 9.2e-07 0.00017 0.002 0.00017 0.00035 0 0.00096999999999999 NA NA 0.00073 0.0011 0.002 0.0023 9e-04 0.00073 0.00096999999999999 NA NA 0.0011 0.00028 0.0013 NA NA NA NA NA NA NA NA NA NA
